Travelling Companion,Continent,Country,Year,Percentage
WITH BUSINESS ASSOCIATE,North America,Canada,2016,0.904977
WITH INCENTIVE GROUP,North America,Canada,2016,0
OTHERS,North America,Canada,2016,0
ALONE,North America,Canada,2017,28.8674
WITH SPOUSE,North America,Canada,2017,33.4176
WITH CHILDREN,North America,Canada,2017,0.164363
WITH FAMILY/RELATIVES,North America,Canada,2017,4.10907
STUDENT GROUP,North America,Canada,2017,0.164363
WITH FRIENDS,North America,Canada,2017,32.6197
WITH BUSINESS ASSOCIATE,North America,Canada,2017,0.328725
WITH INCENTIVE GROUP,North America,Canada,2017,0
OTHERS,North America,Canada,2017,0.328725
ALONE,North America,United States,2016,29.5071
WITH SPOUSE,North America,United States,2016,40.7912
WITH CHILDREN,North America,United States,2016,0.713359
WITH FAMILY/RELATIVES,North America,United States,2016,6.22568
STUDENT GROUP,North America,United States,2016,0.129702
WITH FRIENDS,North America,United States,2016,18.0934
WITH BUSINESS ASSOCIATE,North America,United States,2016,3.9559
WITH INCENTIVE GROUP,North America,United States,2016,0
OTHERS,North America,United States,2016,0.583658
ALONE,North America,United States,2017,21.6677
WITH SPOUSE,North America,United States,2017,40.1145
WITH CHILDREN,North America,United States,2017,1.55321
WITH FAMILY/RELATIVES,North America,United States,2017,8.85343
STUDENT GROUP,North America,United States,2017,1.59825
WITH FRIENDS,North America,United States,2017,22.8079
WITH BUSINESS ASSOCIATE,North America,United States,2017,2.29314
WITH INCENTIVE GROUP,North America,United States,2017,0.347445
OTHERS,North America,United States,2017,0.764379
ALONE,Europe,United Kingdom,2016,22.9983
WITH SPOUSE,Europe,United Kingdom,2016,42.7172
WITH CHILDREN,Europe,United Kingdom,2016,0.383305
WITH FAMILY/RELATIVES,Europe,United Kingdom,2016,9.58262
STUDENT GROUP,Europe,United Kingdom,2016,0.212947
WITH FRIENDS,Europe,United Kingdom,2016,22.0613
WITH BUSINESS ASSOCIATE,Europe,United Kingdom,2016,1.95911
WITH INCENTIVE GROUP,Europe,United Kingdom,2016,0
OTHERS,Europe,United Kingdom,2016,0.0851789
ALONE,Europe,United Kingdom,2017,15.5346
WITH SPOUSE,Europe,United Kingdom,2017,46.3349
WITH CHILDREN,Europe,United Kingdom,2017,0.336247
WITH FAMILY/RELATIVES,Europe,United Kingdom,2017,13.7189
STUDENT GROUP,Europe,United Kingdom,2017,0
WITH FRIENDS,Europe,United Kingdom,2017,20.1076
WITH BUSINESS ASSOCIATE,Europe,United Kingdom,2017,2.55548
WITH INCENTIVE GROUP,Europe,United Kingdom,2017,0.134499
OTHERS,Europe,United Kingdom,2017,1.27774
ALONE,Europe,Ireland,2016,25.2874
WITH SPOUSE,Europe,Ireland,2016,44.8276
WITH CHILDREN,Europe,Ireland,2016,1.14943
WITH FAMILY/RELATIVES,Europe,Ireland,2016,10.3448
STUDENT GROUP,Europe,Ireland,2016,2.29885
WITH FRIENDS,Europe,Ireland,2016,16.092
WITH BUSINESS ASSOCIATE,Europe,Ireland,2016,0
WITH INCENTIVE GROUP,Europe,Ireland,2016,0
OTHERS,Europe,Ireland,2016,0
ALONE,Europe,Ireland,2017,17.1862
WITH SPOUSE,Europe,Ireland,2017,48.3947
WITH CHILDREN,Europe,Ireland,2017,0
WITH FAMILY/RELATIVES,Europe,Ireland,2017,11.8506
STUDENT GROUP,Europe,Ireland,2017,0
WITH FRIENDS,Europe,Ireland,2017,21.1364
WITH BUSINESS ASSOCIATE,Europe,Ireland,2017,0
WITH INCENTIVE GROUP,Europe,Ireland,2017,0
OTHERS,Europe,Ireland,2017,1.43218
ALONE,Europe,Sweden,2016,12.3932
WITH SPOUSE,Europe,Sweden,2016,47.8632
WITH CHILDREN,Europe,Sweden,2016,1.28205
WITH FAMILY/RELATIVES,Europe,Sweden,2016,17.9487
STUDENT GROUP,Europe,Sweden,2016,0
WITH FRIENDS,Europe,Sweden,2016,18.8034
WITH BUSINESS ASSOCIATE,Europe,Sweden,2016,0.854701
WITH INCENTIVE GROUP,Europe,Sweden,2016,0
OTHERS,Europe,Sweden,2016,0.854701
ALONE,Europe,Sweden,2017,11.3796
WITH SPOUSE,Europe,Sweden,2017,48.361
WITH CHILDREN,Europe,Sweden,2017,0
WITH FAMILY/RELATIVES,Europe,Sweden,2017,17.7821
STUDENT GROUP,Europe,Sweden,2017,0
WITH FRIENDS,Europe,Sweden,2017,20.3431
